name,rmsd(prot align),rmsd(prot/pep align),rmsd(pep align),modification rmsd(prot align),modification rmsd(prot/pep align),modification rmsd(pep align),error info
2N8E,0.267,0.267,0.267,1.152,1.152,1.152,
2M2S,12.706,12.706,12.706,7.836,7.836,7.836,
2KNN,2.183,2.183,2.183,2.811,2.811,2.811,
2MSQ,0.469,0.469,0.469,2.426,2.426,2.426,
4M6E,5.355,5.355,5.355,6.039,6.039,6.039,
2J15,3.268,3.268,3.268,3.990,3.990,3.990,
2M2H,3.369,3.369,3.369,4.791,4.791,4.791,
2M1P,1.269,1.269,1.269,1.565,1.565,1.565,
2M2X,11.263,11.263,11.263,8.593,8.593,8.593,
2M2G,2.288,2.288,2.288,1.975,1.975,1.975,
1T9E,0.141,0.141,0.141,1.066,1.066,1.066,
